Date,MCP
8/3/2017,2464.35
9/3/2017,2672.48
10/3/2017,2556.72
11/3/2017,2385.39
12/3/2017,2253.96
13/3/2017,1598.83
14/3/2017,2036.03
15/3/2017,2375.39
16/3/2017,2494.28
17/3/2017,2450.21
18/3/2017,2605.73
19/3/2017,2404.29
20/3/2017,2517.04
21/3/2017,2644.74
22/3/2017,2652.59
23/3/2017,2870.09
24/3/2017,2968.79
25/3/2017,2853.85
26/3/2017,2600.65
27/3/2017,2879.95
28/3/2017,2804.38
29/3/2017,2999.54
30/3/2017,3194.98
31/3/2017,2979.09
1/4/2017,2884.04
2/4/2017,2666.96
3/4/2017,2776.77
4/4/2017,2773.07
5/4/2017,2650.24
6/4/2017,2636.3
7/4/2017,2680.34
8/4/2017,2845.45
9/4/2017,2516.8
10/4/2017,2853.51
11/4/2017,2894.55
12/4/2017,2922.77
13/4/2017,2964.44
14/4/2017,2973.57
15/4/2017,2999.53
16/4/2017,2747.78
17/4/2017,2889.47
18/4/2017,2785.47
19/4/2017,2808.08
20/4/2017,2893.96
21/4/2017,2859.67
22/4/2017,2783.31
23/4/2017,2339.27
24/4/2017,2502.65
25/4/2017,2458.43
26/4/2017,2699.97
27/4/2017,2729.98
28/4/2017,2899.94
29/4/2017,2892.71
30/4/2017,2820.29
1/5/2017,2753.01
2/5/2017,2926.1
3/5/2017,3050
4/5/2017,3500
5/5/2017,3329.84
6/5/2017,3443.49
7/5/2017,2977.12
8/5/2017,3169.63
9/5/2017,2825.45
10/5/2017,2651.53
11/5/2017,2725.09
12/5/2017,3065.4
13/5/2017,3238.7
14/5/2017,2747.75
15/5/2017,3147.31
16/5/2017,2844.28
17/5/2017,2801.41
18/5/2017,2979.43
19/5/2017,2842.65
20/5/2017,2823.97
21/5/2017,2540.19
22/5/2017,3020.55
23/5/2017,2905.7
24/5/2017,3297.08
25/5/2017,3349.93
26/5/2017,3408.39
27/5/2017,3012.92
28/5/2017,2109.61
29/5/2017,2460.31
30/5/2017,2112.67
31/5/2017,2426.71
1/6/2017,2542.94
2/6/2017,2716.86
3/6/2017,3178.02
4/6/2017,3006.42
5/6/2017,3347.73
6/6/2017,3370.89
7/6/2017,2470.87
8/6/2017,2609.9
9/6/2017,2589.45
10/6/2017,2557.85
11/6/2017,2389.74
12/6/2017,2545.54
13/6/2017,2484.71
14/6/2017,2665.95
15/6/2017,2861.12
16/6/2017,3199.68
17/6/2017,2818.69
18/6/2017,2479.13
19/6/2017,2619.14
20/6/2017,2473.83
21/6/2017,2317.48
22/6/2017,2439.29
23/6/2017,2392.47
24/6/2017,2580.12
25/6/2017,2299.58
26/6/2017,2514.26
27/6/2017,2379.93
28/6/2017,2095.53
29/6/2017,1989.8
30/6/2017,1896.89
1/7/2017,2086.27
2/7/2017,1114.56
3/7/2017,1411.51
4/7/2017,1539.4
5/7/2017,2120.69
6/7/2017,2515.64
7/7/2017,2663.68
8/7/2017,2953.73
9/7/2017,2575.77
10/7/2017,2749.51
11/7/2017,2632.43
12/7/2017,2432.25
13/7/2017,2472.35
14/7/2017,2397.43
15/7/2017,2335.49
16/7/2017,2175.64
17/7/2017,2506.49
18/7/2017,2762.29
19/7/2017,2746.6
20/7/2017,3108.5
21/7/2017,2729.89
22/7/2017,2718.84
23/7/2017,2197.2
24/7/2017,2484.94
25/7/2017,2495.94
26/7/2017,2663.34
27/7/2017,2794.46
28/7/2017,2954.52
29/7/2017,3225.75
30/7/2017,2599.86
31/7/2017,3165.52
1/8/2017,3041.57
2/8/2017,2922.66
3/8/2017,2744.27
4/8/2017,2700.81
5/8/2017,3014.14
6/8/2017,2829.7
7/8/2017,3229.02
8/8/2017,3699.81
9/8/2017,3414.09
10/8/2017,3359.09
11/8/2017,3173.44
12/8/2017,2963.77
13/8/2017,2806.25
14/8/2017,3309.32
15/8/2017,2518.88
16/8/2017,2699.07
17/8/2017,3094.7
18/8/2017,3087.16
19/8/2017,3631.32
20/8/2017,3001.8
21/8/2017,3111.76
22/8/2017,3108.75
23/8/2017,3484.07
24/8/2017,3770.09
25/8/2017,3810.22
26/8/2017,3458.16
27/8/2017,2921.63
28/8/2017,3391.12
